Protein	Localization
AAAS	Secretory
AACS	Cytosol
AAK1	Cytosol
AARS	Cytosol
AASDHPPT	Cytosol
AATF	Nucleus
ABCA2	Secretory
ABCB10	Mitochondria
ABCB7	Mitochondria
ABCB8	Mitochondria
ABCC1	Secretory
ABCC10	Secretory
ABCC3	Secretory
ABCC4	Secretory
ABCC5	Secretory
ABCD1	Secretory
ABCD3	Secretory
ABCD4	Secretory
ABHD12	Secretory
ABHD13	Secretory
ABHD14B	Cytosol
ABHD16A	Secretory
ABHD17C	Secretory
ABHD2	Secretory
ABHD6	Secretory
ABL1	Cytosol
ABL2	Cytosol
ABR	Cytosol
ABRACL	Cytosol
ABT1	Nucleus
ACAD9	Mitochondria
ACAP2	Cytosol
ACAT2	Cytosol
ACBD4	Secretory
ACBD5	Secretory
ACBD6	Cytosol
ACIN1	Nucleus
ACLY	Cytosol
ACOT11	Cytosol
ACP1	Cytosol
ACPL2	Secretory
ACSL1	Secretory
ACSL3	Secretory
ACSL4	Secretory
ACSS2	Cytosol
ACTR10	Cytosol
ACVR1	Secretory
ACYP1	Cytosol
ACYP2	Cytosol
ADAM10	Secretory
ADAM15	Secretory
ADAM9	Secretory
ADAR	Nucleus
ADARB1	Nucleus
ADAT2	Cytosol
ADAT3	Cytosol
ADCK1	Mitochondria
ADCK3	Mitochondria
ADCK4	Mitochondria
ADCY3	Secretory
ADCY6	Secretory
ADCY9	Secretory
ADH5	Cytosol
ADI1	Cytosol
ADIPOR2	Secretory
ADK	Cytosol
ADNP	Nucleus
ADNP2	Nucleus
ADO	Cytosol
ADPRHL2	Cytosol
ADRBK1	Cytosol
ADRM1	Cytosol
ADSL	Cytosol
AFF4	Nucleus
AFG3L2	Mitochondria
AFP	Cytosol
AGFG1	Cytosol
AGFG2	Cytosol
AGGF1	Nucleus
AGK	Mitochondria
AGO2	Nucleus
AGPAT3	Secretory
AGPAT5	Mitochondria
AGPAT6	Secretory
AGPAT9	Secretory
AGRN	Secretory
AHCTF1	Nucleus
AHCY	Cytosol
AHCYL1	Cytosol
AHCYL2	Cytosol
AHDC1	Nucleus
AHSA1	Cytosol
AIFM1	Mitochondria
AIP	Cytosol
AJUBA	Cytosol
AK1	Cytosol
AK2	Nucleus
AKAP1	Mitochondria
AKAP12	Cytosol
AKAP17A	Nucleus
AKAP8L	Nucleus
AKR1A1	Cytosol
AKT1	Cytosol
AKT2	Cytosol
AKTIP	Cytosol
ALCAM	Secretory
ALDH1A3	Cytosol
ALDH3A2	Secretory
ALDH9A1	Cytosol
ALDOA	Cytosol
ALG1	Secretory
ALG11	Secretory
ALG14	Secretory
ALG3	Secretory
ALG5	Secretory
ALG6	Secretory
ALKBH3	Cytosol
ALKBH6	Cytosol
ALKBH8	Cytosol
AMDHD2	Cytosol
AMFR	Secretory
AMIGO2	Secretory
AMOTL2	Cytosol
AMPD2	Cytosol
ANGEL1	Secretory
ANKLE2	Secretory
ANKMY2	Cytosol
ANKRD12	Nucleus
ANKRD46	Secretory
ANKRD54	Cytosol
ANKS1A	Cytosol
ANO10	Secretory
ANO6	Secretory
ANO8	Secretory
ANXA1	Cytosol
ANXA11	Cytosol
ANXA5	Cytosol
AP1AR	Secretory
AP2A1	Secretory
AP2A2	Secretory
AP2M1	Secretory
AP3B1	Cytosol
AP3D1	Cytosol
AP3M2	Cytosol
AP4E1	Cytosol
APH1A	Secretory
APLP2	Secretory
APMAP	Secretory
APOA1BP	Cytosol
APOO	Mitochondria
APOOL	Mitochondria
APP	Secretory
APPL1	Cytosol
APRT	Cytosol
ARAP1	Cytosol
ARCN1	Cytosol
AREL1	Secretory
ARFGEF2	Cytosol
ARFRP1	Secretory
ARHGAP12	Cytosol
ARHGAP17	Cytosol
ARHGAP35	Cytosol
ARHGAP39	Secretory
ARHGAP5	Cytosol
ARHGDIA	Cytosol
ARHGDIB	Cytosol
ARHGEF10	Cytosol
ARHGEF10L	Cytosol
ARHGEF40	Secretory
ARHGEF7	Cytosol
ARID1B	Nucleus
ARIH1	Cytosol
ARIH2	Cytosol
ARL13B	Secretory
ARL15	Secretory
ARL6	Cytosol
ARL6IP5	Secretory
ARL8A	Secretory
ARL8B	Secretory
ARMC10	Mitochondria
ARMC6	Cytosol
ARMCX3	Mitochondria
ARPC5	Cytosol
ARV1	Secretory
ASAH1	Secretory
ASAP1	Cytosol
ASB8	Cytosol
ASH1L	Nucleus
ASH2L	Nucleus
ASMTL	Cytosol
ASNA1	Cytosol
ASPH	Secretory
ASPSCR1	Cytosol
ASS1	Cytosol
ATAD1	Mitochondria
ATAD2	Nucleus
ATAD2B	Nucleus
ATAD3A	Mitochondria
ATAD3B	Mitochondria
ATAD5	Nucleus
ATE1	Cytosol
ATF1	Nucleus
ATF4	Nucleus
ATF6	Secretory
ATG12	Cytosol
ATG13	Cytosol
ATG16L1	Cytosol
ATG2B	Cytosol
ATG3	Cytosol
ATG4B	Cytosol
ATG4C	Cytosol
ATG5	Cytosol
ATG7	Cytosol
ATG9A	Secretory
ATIC	Cytosol
ATL2	Secretory
ATL3	Secretory
ATP11A	Secretory
ATP11B	Secretory
ATP11C	Secretory
ATP13A1	Secretory
ATP13A2	Secretory
ATP13A3	Secretory
ATP1A1	Secretory
ATP1A2	Secretory
ATP1B1	Secretory
ATP1B3	Secretory
ATP2A2	Secretory
ATP2B1	Secretory
ATP2B4	Secretory
ATP2C1	Secretory
ATP5A1	Mitochondria
ATP5B	Mitochondria
ATP5C1	Mitochondria
ATP5D	Mitochondria
ATP5F1	Mitochondria
ATP5H	Mitochondria
ATP5I	Mitochondria
ATP5J	Mitochondria
ATP5O	Mitochondria
ATP5S	Mitochondria
ATP5SL	Mitochondria
ATP6AP1	Secretory
ATP6AP2	Secretory
ATP6V0A1	Secretory
ATP6V0A2	Secretory
ATP6V0D1	Secretory
ATP7A	Secretory
ATP7B	Secretory
ATP8B1	Secretory
ATP9A	Secretory
ATP9B	Secretory
ATPAF1	Mitochondria
ATRN	Secretory
ATRX	Nucleus
ATXN1	Nucleus
ATXN3	Cytosol
ATXN7L3B	Cytosol
AUP1	Secretory
AURKB	Nucleus
AVL9	Cytosol
AZI1	Nucleus
B2M	Secretory
B3GALT6	Secretory
B3GAT3	Secretory
B3GNT1	Secretory
B3GNT2	Secretory
B4GALT1	Secretory
B4GALT3	Secretory
B4GALT4	Secretory
B4GALT5	Secretory
BACE2	Secretory
BAG3	Cytosol
BAG6	Cytosol
BAK1	Mitochondria
BARD1	Nucleus
BAX	Cytosol
BAZ1A	Nucleus
BAZ1B	Nucleus
BAZ2A	Nucleus
BAZ2B	Nucleus
BBC3	Mitochondria
BCAP29	Secretory
BCAP31	Secretory
BCAR1	Cytosol
BCAS3	Cytosol
BCL10	Cytosol
BCL2L1	Mitochondria
BCL2L11	Secretory
BCL2L13	Mitochondria
BCL9L	Nucleus
BCOR	Nucleus
BCS1L	Mitochondria
BDH1	Mitochondria
BDH2	Cytosol
BEND3	Nucleus
BET1	Secretory
BET1L	Secretory
BID	Cytosol
BIN1	Cytosol
BIN3	Cytosol
BIRC2	Cytosol
BIRC5	Nucleus
BIRC6	Cytosol
BLM	Nucleus
BLVRB	Cytosol
BLZF1	Secretory
BMP2K	Secretory
BMPR1A	Secretory
BMPR2	Secretory
BMS1	Nucleus
BNIP1	Secretory
BNIP3	Mitochondria
BORA	Cytosol
BPNT1	Cytosol
BRAF	Cytosol
BRCC3	Cytosol
BRD1	Nucleus
BRD2	Nucleus
BRD4	Nucleus
BRIX1	Nucleus
BROX	Cytosol
BRPF1	Nucleus
BRPF3	Nucleus
BRWD1	Nucleus
BSCL2	Secretory
BSG	Secretory
BTBD9	Secretory
BTF3	Cytosol
BTF3L4	Cytosol
BTN2A1	Secretory
BUB1	Cytosol
BUB1B	Cytosol
C10orf118	Cytosol
C10orf12	Nucleus
C10orf35	Secretory
C10orf88	Cytosol
C11orf68	Cytosol
C11orf83	Mitochondria
C12orf10	Cytosol
C12orf23	Cytosol
C12orf29	Cytosol
C12orf4	Cytosol
C12orf43	Nucleus
C12orf44	Cytosol
C12orf49	Secretory
C12orf5	Cytosol
C12orf57	Cytosol
C12orf73	Mitochondria
C14orf119	Cytosol
C14orf142	Cytosol
C16orf13	Cytosol
C16orf58	Secretory
C16orf70	Cytosol
C17orf59	Secretory
C17orf62	Secretory
C17orf80	Mitochondria
C17orf85	Nucleus
C18orf21	Nucleus
C18orf25	Nucleus
C18orf32	Secretory
C19orf52	Mitochondria
C19orf70	Mitochondria
C1GALT1	Secretory
C1GALT1C1	Secretory
C1orf131	Nucleus
C1orf159	Secretory
C1orf198	Cytosol
C1orf226	Mitochondria
C1orf27	Secretory
C1orf50	Cytosol
C1QBP	Mitochondria
C20orf24	Secretory
C20orf27	Cytosol
C2CD2	Secretory
C2CD2L	Secretory
C2orf42	Nucleus
C2orf43	Secretory
C2orf47	Mitochondria
C2orf49	Nucleus
C2orf69	Cytosol
C3orf17	Nucleus
C3orf33	Mitochondria
C3orf58	Secretory
C4orf29	Mitochondria
C4orf3	Secretory
C5orf15	Secretory
C5orf24	Nucleus
C6orf106	Cytosol
C6orf211	Cytosol
C6orf47	Secretory
C6orf89	Secretory
C9orf16	Cytosol
C9orf64	Cytosol
C9orf85	Nucleus
C9orf89	Mitochondria
CABIN1	Nucleus
CACYBP	Cytosol
CAD	Cytosol
CADM4	Secretory
CALCOCO1	Cytosol
CALR	Nucleus
CALU	Nucleus
CAMK2D	Cytosol
CAMK2G	Cytosol
CAMLG	Secretory
CANT1	Secretory
CANX	Secretory
CAPN1	Cytosol
CAPN2	Cytosol
CAPN5	Secretory
CAPNS1	Cytosol
CAPS	Cytosol
CASC4	Secretory
CASK	Mitochondria
CASP7	Cytosol
CAST	Cytosol
CAV1	Secretory
CAV2	Secretory
CBFB	Cytosol
CBL	Cytosol
CBR1	Cytosol
CBR3	Cytosol
CBS	Cytosol
CBX3	Nucleus
CBX5	Nucleus
CBX8	Nucleus
CC2D1B	Cytosol
CCAR1	Nucleus
CCAR2	Nucleus
CCBL1	Cytosol
CCDC109B	Mitochondria
CCDC115	Secretory
CCDC117	Nucleus
CCDC127	Mitochondria
CCDC132	Cytosol
CCDC134	Secretory
CCDC137	Nucleus
CCDC14	Secretory
CCDC167	Secretory
CCDC22	Cytosol
CCDC25	Cytosol
CCDC43	Cytosol
CCDC47	Secretory
CCDC50	Cytosol
CCDC51	Mitochondria
CCDC58	Nucleus
CCDC6	Cytosol
CCDC61	Secretory
CCDC77	Secretory
CCDC85C	Cytosol
CCDC86	Nucleus
CCDC90B	Mitochondria
CCDC91	Cytosol
CCDC92	Cytosol
CCDC93	Cytosol
CCDC97	Cytosol
CCNB1	Cytosol
CCNH	Nucleus
CCNT1	Nucleus
CCNT2	Nucleus
CCNYL1	Secretory
CCPG1	Secretory
CCS	Cytosol
CCT2	Cytosol
CCT3	Cytosol
CCT4	Cytosol
CCT5	Cytosol
CCT6A	Cytosol
CCT7	Cytosol
CCT8	Cytosol
CD109	Secretory
CD151	Secretory
CD276	Secretory
CD2AP	Cytosol
CD3EAP	Nucleus
CD44	Secretory
CD46	Secretory
CD47	Secretory
CD55	Secretory
CD58	Secretory
CD63	Secretory
CD81	Secretory
CD99	Secretory
CDAN1	Cytosol
CDC123	Cytosol
CDC25B	Cytosol
CDC25C	Cytosol
CDC34	Cytosol
CDC37	Cytosol
CDC40	Nucleus
CDC42	Cytosol
CDC42EP4	Cytosol
CDC5L	Nucleus
CDC73	Nucleus
CDCA2	Nucleus
CDCA5	Nucleus
CDCA7L	Nucleus
CDCA8	Nucleus
CDK1	Cytosol
CDK13	Nucleus
CDK17	Secretory
CDK5	Cytosol
CDK5RAP3	Secretory
CDK6	Cytosol
CDK9	Nucleus
CDKAL1	Secretory
CDKN2AIPNL	Nucleus
CDON	Secretory
CDR2L	Cytosol
CDS2	Secretory
CDV3	Cytosol
CEBPB	Nucleus
CEBPZ	Nucleus
CELF1	Nucleus
CELSR3	Secretory
CENPB	Nucleus
CENPC	Nucleus
CENPI	Nucleus
CENPN	Nucleus
CENPO	Nucleus
CENPP	Nucleus
CENPQ	Nucleus
CENPT	Nucleus
CENPU	Nucleus
CEP112	Cytosol
CEP128	Mitochondria
CEP192	Cytosol
CEP44	Cytosol
CEP78	Cytosol
CEP85	Cytosol
CEP89	Secretory
CERK	Secretory
CERS2	Secretory
CFL1	Cytosol
CGRRF1	Secretory
CHAF1A	Nucleus
CHCHD3	Mitochondria
CHCHD6	Mitochondria
CHD1	Nucleus
CHD2	Nucleus
CHD3	Nucleus
CHD4	Nucleus
CHD6	Nucleus
CHD9	Nucleus
CHDH	Mitochondria
CHERP	Nucleus
CHIC2	Secretory
CHKA	Cytosol
CHM	Cytosol
CHML	Cytosol
CHMP2A	Cytosol
CHMP4B	Cytosol
CHMP5	Cytosol
CHMP6	Secretory
CHORDC1	Cytosol
CHPF	Secretory
CHPF2	Secretory
CHPT1	Secretory
CHRNA5	Secretory
CHST11	Secretory
CHST12	Secretory
CHST14	Secretory
CHST3	Secretory
CHSY1	Secretory
CHTOP	Nucleus
CIAO1	Cytosol
CIAPIN1	Cytosol
CIB1	Secretory
CIC	Nucleus
CIRH1A	Nucleus
CISD1	Mitochondria
